SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC50040,15,0,17,1800,2201,774,715,1489,451,7425
SSC50041,0,0,0,0,4,3,0,0,0,8
SSC50042,0,0,0,0,3,3,0,3,0,15
SSC50043,0,0,0,10,8,4,3,10,3,42
SSC50044,0,0,0,7,3,4,0,8,0,23
SSC50045,0,0,0,12,4,6,0,7,0,34
SSC50046,0,0,3,3,5,3,3,0,0,16
SSC50047,0,0,0,0,0,0,0,4,7,14
SSC50048,0,0,0,39,51,19,16,32,5,165
SSC50049,0,0,0,3,0,0,3,3,0,11
SSC50050,0,0,0,4,13,3,0,5,16,40
SSC50051,3,0,10,154,251,140,113,167,78,904
SSC50052,0,0,0,27,33,18,10,27,17,131
SSC50053,94,157,360,1949,2144,914,764,2121,915,8811
SSC50054,44,14,100,5218,6333,2617,2375,4411,2088,23041
SSC50055,34,24,97,2024,2191,804,746,3266,1215,10241
SSC50056,3,0,8,68,156,84,61,59,43,476
SSC50057,0,0,0,0,9,3,3,3,6,20
SSC50058,0,0,0,0,0,0,0,0,0,0
SSC50059,0,0,0,8,19,7,11,0,9,61
SSC50060,0,0,0,0,0,0,0,0,5,5
SSC50061,77,23,161,3479,3733,1637,1331,3891,906,14981
SSC50062,0,0,0,5,9,3,4,4,3,19
SSC50063,0,0,0,13,7,7,10,16,9,59
SSC50064,0,0,0,3,10,7,10,4,3,41
SSC50065,0,0,0,4,5,4,10,4,9,40
SSC50066,0,0,0,47,57,37,26,43,31,237
SSC50067,0,0,0,39,41,18,5,74,13,189
SSC50068,5,0,17,403,430,211,185,346,128,1711
SSC50069,7,0,15,1629,1914,672,618,1466,492,6793
SSC50070,0,0,0,0,0,0,0,0,0,0
SSC50071,0,0,0,24,34,16,8,22,12,123
SSC50072,0,0,0,5,3,3,0,9,0,21
SSC50073,0,0,0,3,3,4,3,3,0,12
SSC50074,0,0,0,3,4,3,8,0,5,21
SSC50075,4,0,8,129,202,89,111,162,47,737
SSC50076,0,0,0,150,135,31,40,1192,412,1961
SSC50077,0,0,3,47,60,34,30,55,18,244
SSC50078,124,35,238,1990,2518,982,735,1624,619,8466
SSC50079,55,20,97,739,834,450,296,597,158,3075
SSC50080,0,0,0,0,0,0,0,0,0,0
SSC50081,0,0,0,727,765,314,286,380,537,3004
SSC50082,8,7,44,498,677,351,266,351,164,2310
