SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC50816,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
SSC50817,11,20,0,0,0,0,0,0,9,30,9,30,0,0,0,0,0,0,0,0,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,52
SSC50818,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC50819,467,895,11,65,53,240,23,97,453,1718,539,2113,11,48,33,106,68,191,108,344,643,2461,0,3,18,70,7,27,103,297,123,395,10,19,16,29,45,95,64,146,189,540,16,28,1316,3925
SSC50820,191,378,5,19,23,113,15,53,212,816,246,995,20,71,10,40,30,94,58,203,308,1199,0,8,0,3,0,9,26,70,31,86,0,3,3,9,20,49,23,52,53,143,0,3,555,1721
SSC50821,93,180,0,0,0,12,0,8,31,120,37,138,0,6,3,11,4,17,14,32,45,171,0,0,0,0,0,6,4,16,4,15,0,0,0,3,13,24,15,29,22,47,3,7,165,401
SSC50822,953,1900,38,212,214,989,55,242,1143,4406,1449,5853,135,565,186,661,295,957,613,2187,2057,8038,13,55,34,125,7,28,135,340,185,549,21,72,41,93,89,193,150,365,335,912,35,75,3388,10918
SSC50823,40,75,0,14,3,21,0,3,7,19,12,52,0,4,0,0,3,6,3,11,13,66,0,0,0,3,0,0,3,7,5,13,0,3,0,0,0,0,3,3,5,19,0,3,63,162
SSC50824,420,862,15,107,72,377,18,102,368,1420,480,2001,31,125,44,155,120,404,202,687,675,2692,6,24,20,86,5,38,97,283,132,427,19,50,29,61,123,278,163,390,296,817,55,118,1444,4490
SSC50825,6,11,0,7,0,0,0,0,3,17,3,25,0,0,0,3,0,4,3,4,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,41
SSC50826,339,674,3,20,35,166,7,38,248,928,299,1149,26,92,37,120,49,150,107,367,408,1514,0,0,6,26,3,13,31,66,45,99,7,28,18,28,40,87,65,142,107,250,24,52,881,2484
SSC50827,45,88,0,4,7,21,0,16,19,73,25,109,0,0,0,0,5,8,5,7,25,118,0,0,0,8,0,0,16,49,18,60,0,0,0,3,3,4,4,6,19,61,0,5,95,268
SSC50828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50829,220,438,16,78,36,182,26,128,234,923,310,1311,22,91,14,50,57,195,99,333,406,1643,0,7,20,85,9,37,95,289,130,412,8,21,21,52,49,104,79,176,202,588,19,36,849,2697
SSC50830,33,66,0,0,4,8,0,0,10,49,15,57,0,0,0,0,3,8,3,8,20,66,0,0,0,0,0,0,4,5,4,5,0,0,0,0,3,3,3,3,3,11,0,0,57,140
SSC50831,405,787,3,12,13,51,3,13,159,566,176,648,11,32,20,66,26,83,56,191,229,837,0,0,7,23,0,0,27,62,34,88,0,0,12,18,41,91,50,106,80,195,21,46,747,1861
SSC50832,51,93,0,0,4,11,0,6,16,63,16,77,3,10,0,0,0,10,5,19,23,101,0,0,0,0,0,0,6,13,6,13,0,5,0,0,6,11,7,20,11,34,0,0,84,224
SSC50833,1170,2322,23,136,159,686,26,117,699,2712,912,3642,148,613,202,702,376,1178,729,2487,1636,6135,0,10,20,46,11,40,79,221,112,321,25,72,52,114,136,294,212,487,320,799,44,95,3172,9349
SSC50834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50835,32,61,0,0,3,10,0,5,38,159,48,174,0,3,0,0,0,3,3,10,46,187,0,0,0,0,0,0,6,25,11,21,0,0,0,0,4,10,4,10,12,32,0,0,93,270
SSC50836,25,51,0,3,3,9,0,0,10,60,13,73,0,4,0,0,8,16,7,21,23,89,0,0,0,3,0,0,5,12,3,14,0,0,0,0,0,4,0,4,3,11,0,0,54,156
SSC50837,51,90,0,4,3,7,8,25,17,77,30,115,0,3,0,4,8,29,9,31,39,153,0,4,0,0,3,18,16,45,20,62,0,0,0,0,6,18,6,18,25,84,0,3,113,331
SSC50838,417,822,9,42,52,228,24,118,168,658,258,1050,20,89,33,109,87,264,144,468,403,1518,0,7,3,4,0,7,20,50,22,72,3,14,4,10,14,36,28,64,47,127,9,16,878,2480
SSC50839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50840,889,1734,17,91,150,699,30,137,517,2051,713,2976,69,272,112,378,222,686,399,1342,1113,4313,9,28,16,60,14,42,78,211,116,338,23,68,33,88,107,218,164,374,279,712,15,42,2300,6798
SSC50841,4,13,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15
SSC50842,0,0,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,4,0,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,4,16
SSC50843,10,20,0,0,3,5,0,4,3,7,3,23,0,0,0,0,0,4,0,4,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,18,45
SSC50844,194,371,3,21,13,66,9,37,111,421,137,545,3,24,20,54,31,104,55,185,189,727,0,0,0,8,0,7,22,52,26,72,0,3,9,18,16,32,27,52,49,123,4,3,433,1229
SSC50845,3,7,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
SSC50846,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC50847,0,0,0,0,0,0,0,0,4,13,4,13,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
SSC50848,284,562,10,55,31,147,8,58,186,733,234,987,9,47,19,79,63,201,100,321,336,1314,7,22,14,58,12,33,86,235,110,354,8,20,33,70,97,201,128,291,246,651,23,50,882,2574
SSC50849,100,201,0,7,10,50,9,44,58,244,81,341,3,10,6,16,25,75,33,107,110,447,0,10,7,34,3,14,38,111,53,174,0,7,5,8,29,56,32,77,86,251,6,20,312,917
SSC50850,0,0,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,4,0,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
SSC50851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50852,3,3,0,0,0,0,0,0,0,11,0,11,0,0,0,3,0,3,0,3,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23
SSC50853,32,58,0,0,0,0,0,0,0,10,0,10,0,0,0,4,7,17,7,18,10,28,0,0,0,3,0,0,4,4,3,4,0,0,0,3,0,0,0,3,3,11,0,0,45,99
SSC50854,238,469,5,40,45,202,12,56,145,578,207,882,20,64,38,123,62,170,109,351,319,1229,0,6,0,0,0,3,19,48,18,57,0,4,0,5,12,22,16,30,32,88,0,3,595,1789
SSC50855,3,3,0,0,0,0,0,7,0,4,0,8,0,0,0,0,0,4,0,4,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
SSC50856,244,480,4,17,25,110,5,32,123,472,155,633,7,21,17,66,39,116,62,201,222,831,0,0,3,14,6,16,23,75,36,99,0,3,5,16,25,51,26,66,63,169,5,14,528,1486
SSC50857,23,46,0,0,4,16,0,0,6,19,6,28,0,0,0,3,4,11,3,12,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,8,3,8,0,0,43,101
SSC50858,15,22,0,0,0,9,0,3,3,20,4,32,0,0,3,4,0,3,3,12,8,37,0,0,0,0,0,0,4,10,4,10,0,0,0,0,0,0,0,0,4,10,0,3,25,73
SSC50859,8,21,0,0,0,0,0,0,11,37,11,37,0,0,0,0,0,3,0,3,9,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,21,67
SSC50860,0,0,0,7,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,4,13
SSC50861,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14
SSC50862,338,669,5,29,20,101,4,29,241,917,277,1073,20,78,32,118,67,216,116,411,395,1478,0,10,14,39,7,15,60,154,75,224,7,12,20,41,69,140,89,195,164,420,24,53,914,2616
SSC50863,4,5,0,0,0,0,0,0,0,6,0,6,0,0,0,3,0,0,0,3,3,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,18
SSC50864,928,1852,38,254,127,640,38,180,771,2975,974,4055,58,254,71,249,192,616,315,1116,1293,5172,7,35,35,133,20,102,225,631,291,897,15,60,47,116,205,447,272,621,560,1520,54,122,2836,8660
SSC50865,556,1085,12,61,86,366,8,45,534,2042,637,2514,46,197,78,262,143,468,269,917,903,3435,4,15,17,46,7,17,86,224,106,308,14,34,26,66,58,127,95,222,200,534,11,31,1673,5081
SSC50866,290,555,8,56,48,212,17,77,213,787,287,1127,25,89,41,124,51,140,112,357,395,1483,0,7,8,21,4,20,45,114,59,154,7,19,14,23,23,42,35,86,91,243,3,8,777,2283
SSC50867,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC50868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50869,3,8,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,4,0,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20
SSC50870,105,210,3,26,17,59,0,3,44,174,65,263,11,37,5,21,31,93,45,151,105,413,0,0,0,7,3,6,3,11,10,25,0,4,3,4,8,24,11,31,25,60,0,3,233,681
SSC50871,85,166,0,0,4,19,0,3,38,165,44,188,5,21,3,14,17,56,28,90,74,278,0,0,3,7,3,10,26,75,32,90,0,4,3,4,14,26,13,27,45,123,6,9,204,568
SSC50872,505,977,8,60,54,246,16,93,295,1137,376,1536,36,159,49,163,157,486,241,807,612,2343,0,4,13,55,3,18,64,166,85,243,4,13,15,24,69,146,88,187,171,428,12,26,1295,3777
SSC50873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50874,8,11,0,0,0,0,0,0,0,3,0,3,0,0,3,7,0,0,3,7,5,15,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,0,4,3,0,0,11,25
SSC50875,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC50876,3,6,0,0,0,0,0,3,3,10,3,7,0,0,0,0,3,7,3,7,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20
SSC50877,4,12,0,0,0,0,0,0,4,14,4,14,0,0,0,6,0,0,0,6,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26
SSC50878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50879,3,5,0,0,0,0,0,0,3,21,3,21,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23
SSC50880,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,11,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,11,29
SSC50881,913,1782,6,51,26,110,11,53,256,931,303,1146,16,58,36,127,84,253,140,437,443,1583,3,20,20,70,15,57,221,553,261,701,14,44,26,60,168,348,213,447,472,1145,45,92,1870,4602
SSC50882,495,979,10,65,41,188,15,60,249,992,309,1298,10,53,27,98,62,207,104,358,420,1655,8,29,8,41,9,35,91,238,112,342,7,24,20,46,62,129,91,197,206,535,18,46,1142,3212
SSC50883,4,4,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,5,0,5,4,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,18
SSC50884,341,676,4,42,53,252,5,34,317,1211,386,1544,20,84,49,170,58,177,130,436,510,1973,0,0,9,27,9,34,56,163,80,229,8,27,30,63,55,121,97,212,172,445,34,73,1060,3164
SSC50885,22,43,0,0,0,0,0,5,9,38,13,38,0,0,0,4,4,12,8,18,17,62,0,0,0,7,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,38,105
SSC50886,828,1662,37,240,134,661,52,263,656,2553,885,3716,83,352,110,395,316,1032,510,1788,1393,5501,10,43,46,168,16,42,152,422,217,676,34,116,53,118,200,461,290,703,500,1377,58,128,2790,8667
SSC50887,10,24,0,0,0,0,0,0,6,17,6,17,0,5,0,0,0,0,0,5,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,51
SSC50888,32,65,0,13,6,28,3,12,26,120,36,174,3,7,0,4,7,17,11,32,49,207,0,0,0,5,0,0,3,7,5,10,0,5,0,0,3,3,4,6,10,17,0,0,90,287
SSC50889,23,52,3,20,0,3,3,16,29,140,34,181,0,4,0,0,3,16,7,22,45,202,0,6,0,0,4,26,18,56,23,90,3,5,0,0,8,16,6,22,29,110,3,16,102,370
SSC50890,13,22,0,0,0,3,0,0,0,9,5,8,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,35
SSC50891,48,96,0,7,8,41,3,23,20,86,35,159,6,31,13,33,15,55,34,118,72,274,0,0,0,0,0,0,4,8,4,8,0,0,5,6,8,14,7,23,17,33,0,3,136,412
SSC50892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50893,739,1418,7,43,72,308,13,78,640,2389,736,2815,22,79,51,151,77,238,148,465,882,3283,3,8,28,97,13,33,173,432,214,573,5,20,29,67,88,176,123,259,338,837,16,27,1971,5569
SSC50894,92,183,6,30,10,44,6,17,42,179,64,269,13,45,10,26,33,101,46,177,108,448,0,0,0,0,0,0,6,16,6,16,0,0,5,9,6,19,12,27,17,43,4,10,223,683
SSC50895,257,507,3,20,32,157,0,11,169,680,215,871,17,78,37,125,64,195,121,395,331,1268,0,0,0,12,0,0,25,48,27,56,3,13,9,23,23,48,35,77,62,135,8,13,656,1920
SSC50896,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
SSC50897,4,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
SSC50898,6,19,0,0,0,0,0,4,6,22,7,25,0,0,0,0,0,3,0,3,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,40
SSC50899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50900,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50901,171,341,4,22,16,73,8,33,75,294,102,425,18,84,14,40,56,165,87,286,192,709,0,0,0,0,0,0,15,40,15,40,3,6,3,6,19,45,24,56,37,98,3,8,406,1160
SSC50902,9,17,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,4,9,4,9,0,3,0,0,0,3,0,6,3,12,0,0,22,47
SSC50903,23,42,0,0,0,0,0,0,10,27,10,27,0,4,0,4,3,10,3,17,15,40,0,0,0,3,0,4,3,12,5,22,0,0,0,0,3,5,3,5,12,28,0,0,48,110
SSC50904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50905,5,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14
SSC50906,33,66,0,0,0,3,0,0,10,42,16,48,0,3,3,4,0,0,3,13,14,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,127
SSC50907,1571,3041,4,40,56,244,11,52,762,2710,837,3046,18,88,69,229,106,301,192,621,1032,3672,0,0,12,50,8,16,174,411,196,474,8,25,51,98,127,246,184,372,377,843,84,165,3071,7726
SSC50908,11,19,0,0,0,3,0,0,5,18,4,25,0,0,0,0,0,3,0,3,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49
SSC50909,3,3,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,13
SSC50910,355,702,23,137,32,166,16,64,262,1036,337,1399,18,63,16,61,65,207,102,328,432,1728,4,28,12,45,8,12,71,188,87,267,3,7,6,9,42,95,51,114,143,386,11,26,944,2845
SSC50911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50912,852,1645,22,104,95,441,38,175,596,2225,745,2943,51,202,78,265,158,467,286,940,1027,3881,7,12,29,116,14,53,170,492,221,673,24,77,30,67,71,152,130,292,348,965,20,34,2243,6534
SSC50913,38,68,0,5,4,8,0,6,16,70,20,88,0,0,0,0,6,15,6,15,23,100,0,0,0,0,0,3,0,4,0,6,0,0,0,0,3,7,3,7,6,18,0,0,69,188
SSC50914,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
SSC50915,204,408,9,49,11,48,3,27,103,413,125,532,5,21,11,34,35,113,51,165,176,699,6,16,10,43,6,27,87,230,109,321,4,16,10,28,56,130,77,172,184,485,20,40,585,1626
SSC50916,43,90,3,12,0,8,5,20,22,78,26,119,0,0,0,0,3,5,3,5,28,124,0,0,3,12,4,13,18,66,26,82,0,0,0,0,5,17,5,17,35,98,0,5,108,316
SSC50917,3,4,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
SSC50918,31,60,0,0,0,9,0,0,13,63,20,68,3,5,0,0,3,16,5,21,26,91,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,3,10,0,0,59,153
SSC50919,0,3,0,7,0,3,0,0,3,11,3,17,0,0,0,0,3,3,3,3,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,8,31
SSC50920,24,52,0,0,0,0,0,0,14,37,14,37,0,0,3,10,0,11,6,23,18,56,0,0,0,0,0,0,6,13,6,13,0,7,0,0,3,4,0,6,9,22,0,4,53,138
SSC50921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50922,533,1044,6,28,73,351,7,28,470,1786,556,2193,39,166,72,249,115,345,228,765,786,2959,0,0,21,54,3,16,70,167,97,233,10,28,38,95,69,149,120,275,214,506,28,55,1556,4566
SSC50923,262,524,7,30,33,156,0,8,123,496,169,694,23,89,62,221,38,126,129,440,298,1129,0,8,6,26,0,0,17,29,24,63,0,3,3,5,17,31,22,45,42,104,8,12,610,1767
SSC50924,6,13,0,3,0,0,0,0,3,20,8,20,0,4,0,3,0,0,0,9,8,26,0,0,0,3,0,3,3,7,3,15,0,0,0,0,3,4,3,4,9,16,0,0,17,57
SSC50925,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16
SSC50926,5,16,0,0,3,10,0,0,4,16,5,31,0,0,0,3,0,0,0,3,6,35,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,11,0,3,20,60
SSC50927,5,8,0,0,0,0,0,0,3,19,3,19,0,6,0,3,0,0,3,8,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38
SSC50928,318,622,8,64,19,104,10,40,163,645,204,852,12,40,11,40,39,112,61,189,260,1040,3,11,12,38,9,36,45,126,68,213,0,3,11,21,29,61,36,81,105,289,9,22,691,1971
SSC50929,543,1076,17,82,57,276,24,120,306,1192,406,1665,21,85,27,84,72,240,121,405,522,2073,13,51,20,59,9,40,155,466,195,620,20,77,20,49,89,197,131,320,325,935,23,49,1413,4132
SSC50930,0,6,0,0,0,6,0,0,0,0,0,6,3,5,0,0,4,10,6,17,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,35
SSC50931,25,52,0,5,6,25,0,6,14,54,22,88,0,7,0,0,6,12,6,21,27,107,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,4,0,0,56,159
SSC50932,3,4,0,0,0,3,0,0,3,9,3,16,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,3,4,0,0,7,18
SSC50933,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,3,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
SSC50934,251,483,4,17,16,91,9,52,146,568,181,731,15,78,16,67,65,203,101,349,279,1071,7,42,12,44,7,20,74,199,99,299,3,12,17,29,64,138,83,176,180,478,6,18,714,2054
SSC50935,35,78,0,0,0,3,0,0,7,29,6,34,3,8,0,4,7,15,11,26,16,60,0,0,0,8,0,0,0,3,5,11,0,0,0,3,3,5,7,10,7,16,0,0,64,151
SSC50936,99,195,0,0,10,54,3,18,34,129,47,197,0,3,3,7,7,29,12,45,61,241,0,0,0,3,0,0,7,26,10,31,0,4,3,7,10,15,15,32,26,58,3,3,185,502
SSC50937,457,894,7,33,16,72,13,72,282,1048,318,1221,15,62,22,67,56,180,96,310,410,1533,3,22,8,37,7,28,147,380,168,458,12,43,35,70,170,354,216,469,388,925,59,121,1316,3475
SSC50938,125,255,9,37,10,53,3,11,66,241,87,344,3,23,11,30,26,79,44,138,130,482,0,6,3,10,6,24,44,135,57,177,4,22,3,14,42,86,51,116,104,293,11,20,372,1049
SSC50939,15,30,0,0,0,0,0,0,12,59,12,59,0,3,0,0,3,5,5,11,15,64,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,3,6,0,0,36,102
SSC50940,152,291,0,3,20,80,6,42,180,695,202,820,3,10,15,38,25,81,45,131,249,950,0,0,0,0,0,10,32,81,30,88,0,0,3,13,17,34,17,47,50,133,5,15,462,1389
SSC50941,222,416,7,28,40,169,7,35,237,907,288,1138,8,38,18,51,39,113,63,203,353,1342,0,3,16,48,3,4,48,133,64,193,3,9,7,21,9,23,21,45,83,238,7,13,661,2008
SSC50942,29,56,3,25,7,29,0,4,10,49,22,110,0,0,3,6,8,35,13,37,37,147,0,0,0,0,3,5,3,7,5,10,0,0,0,0,3,3,3,6,5,23,0,3,75,228
SSC50943,65,129,0,4,6,26,0,4,20,79,27,116,10,33,13,39,21,68,44,142,67,256,0,0,0,0,0,0,8,14,8,14,3,9,3,5,15,28,15,42,22,57,0,0,155,442
SSC50944,3,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,0,9,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20
SSC50945,0,0,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
SSC50946,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
